beta	tstat	pvalue
BPY	0.664196650970183	0.907090614285063	0.366583931678744
CDY	-0.227556374403641	-0.224472025802293	0.822857381906461
DAZ	0.521273417031059	0.91456831667909	0.362663080576251
HSFY	2.4404318827695	1.0524492680437	0.295181593591661
PRY	-1.4302153725549	-0.581935370622248	0.56194653567415
RBMY	0.182497264165088	0.583046653334088	0.561201192415795
TSPY	0.100814751687188	0.703121827766147	0.483646864252926
VCY	0.824762536249504	0.57103289652694	0.569284530016648
XKRY	4.14733971250705	1.66695545955487	0.0987161764741557
