beta	tstat	pvalue	lambda
BPY	0.0241407382168491	0.434294450698809	0.66516231615465	0.450420475324194
CDY	0.0678235781114307	0.866524344094065	0.388613853183869	0.453414412657064
DAZ	-0.0105383124192722	-0.213770617850358	0.831231939249458	0.443609892058855
HSFY	0.265213934680488	1.45513689586596	0.149271911004971	0.45643914027578
PRY	0.248000224418404	1.31094903551396	0.193364782994045	0.472623351661601
RBMY	0.016504170910706	0.562647011072705	0.575139075524247	0.459386910667642
TSPY	0.0142821861086253	1.1629686137124	0.248059077254769	0.431001150596027
VCY	-0.164445171160446	-1.45520843727225	0.14925215461721	0.430868671456247
XKRY	0.143794166782958	0.746795183840348	0.457224020124495	0.441463249500314
