beta	tstat	pvalue	lambda
BPY	0.65641310661275	0.903320587131948	0.368570842872266	0.080523234528798
CDY	-0.100094132479392	-0.10005686384142	0.920503584478892	0.0794088118932782
DAZ	0.516490632742683	0.909166897792008	0.365492572850132	0.0863188683590492
HSFY	2.43147268298854	1.06390830043315	0.289984708959237	0.0872988194275397
PRY	-2.10326973927491	-0.867756054477203	0.387647823711664	0.122924090577172
RBMY	0.131911342331242	0.405846061530691	0.685740473443878	0.0650965988076831
TSPY	0.229697266550748	1.52987008515233	0.129270478076684	0.18808805242829
VCY	0.662565822584128	0.459661089654982	0.64677760281137	0.0678075259424743
XKRY	4.24010355742211	1.73542441160063	0.0858090349430699	0.107394283582299
