Gene	IID	a	b	c	reps	outlier
HSFY	55	2.024861878	1.900552486	1.94198895	3	2.024861878
TSPY	55	23.42541436	23.45303867	24.47513812	3	24.47513812
RBMY	55	14.44751381	14.97237569	15.02762431	3	14.44751381
XKRY	55	1.76519337	1.820441989	1.776243094	3	1.820441989
CDY	55	3.480662983	3.563535912	3.591160221	3	3.480662983
DAZ	55	4.38	4.45	4.35	3	4.45
HSFY	56	1.859813084	2.626168224	2.866043614	3	1.859813084
DAZ	56	4.12	5.67	5.57	3	4.12
RBMY	56	8.722741433	11.33956386	11.37071651	3	8.722741433
XKRY	56	2.803738318	3.021806854	2.69470405	3	3.021806854
VCY	56	2.436516264	2.534102833	2.587618048	3	2.436516264
PRY	56	2.45	2.4	2.52	3	2.52
BPY	56	3.49	3.426791277	3.582554517	3	3.582554517
CDY	56	4.187956204	4.215328467	4.297445255	3	4.297445255
TSPY	56	36.07476636	36.72897196	36.44859813	3	36.07476636
VCY	57	1.846918489	2.107355865	2.147117296	3	1.846918489
PRY	57	1.78	1.85	2.04	3	2.04
DAZ	57	3.74	3.54	4	3	4
CDY	57	3.88	4.11	4.21	3	3.88
HSFY	57	2.03	2.15	2.19	3	2.03
RBMY	57	8.01	8.51	8.51	3	8.01
XKRY	57	1.93	2.06	2.01	3	1.93
BPY	57	3.23	3.31	3.17	3	3.31
TSPY	57	27.98	28.03	28.47	3	28.47
HSFY	58	2.118987342	2.308860759	2.179746835	3	2.308860759
XKRY	58	2.02	1.88	1.97	3	1.88
BPY	58	2.46	2.55	2.6	3	2.46
PRY	58	2.28	2.39	2.29	3	2.39
DAZ	58	4.67	NA	4.51	2	NA
RBMY	58	11.65822785	11.88607595	12.15189873	3	12.15189873
CDY	58	3.68	3.8	3.76	3	3.68
VCY	58	2.838926174	2.915436242	2.895302013	3	2.838926174
TSPY	58	26.01265823	26.12658228	25.93670886	3	26.12658228
RBMY	59	8.542234332	11.26021798	11.15803815	3	8.542234332
HSFY	59	2.493188011	2.370572207	2.288828338	3	2.493188011
CDY	59	4.516348774	4.761580381	4.638964578	3	4.516348774
VCY	59	2.120467117	2.065150584	2.157344806	3	2.065150584
PRY	59	2.27	2.19	2.27	3	2.19
DAZ	59	3.89	4.04	3.98	3	3.89
BPY	59	3.64	3.72	3.68	3	3.72
TSPY	59	34.39	34.58	34.99	3	34.99
XKRY	59	2.33	2.33	2.33	3	NA
HSFY	60	1.556473829	2.107438017	2.630853994	3	1.556473829
CDY	60	3.044077135	4.35261708	4.35261708	3	3.044077135
BPY	60	2.66	3.305785124	3.278236915	3	2.66
RBMY	60	8.002754821	9.14600551	8.842975207	3	8.002754821
VCY	60	1.652386781	1.799265606	1.7625459	3	1.652386781
PRY	60	1.88	1.88	1.98	3	1.98
XKRY	60	NA	2.038567493	2.066115702	2	NA
DAZ	60	4.33	4.3	4.38	3	4.38
TSPY	60	37.46556474	37.74104683	37.87878788	3	37.46556474
HSFY	61	1.763795771	1.903042806	1.980402269	3	1.763795771
RBMY	61	7.287261475	8.060856111	7.735946364	3	7.287261475
DAZ	61	5.69	6.14	6.25	3	5.69
TSPY	61	31.11397628	31.2686952	33.09437855	3	33.09437855
VCY	61	1.80072904	1.79708384	1.868165249	3	1.868165249
CDY	61	3.852501289	3.867973182	4.007220217	3	4.007220217
PRY	61	2.5	2.59	2.57	3	2.5
BPY	61	4.02	3.960804538	3.91438886	3	4.02
XKRY	61	1.825683342	1.841155235	1.87209902	3	1.87209902
HSFY	62	1.681068342	1.712490181	2.388059701	3	2.388059701
CDY	62	2.953652789	3.676355067	3.880597015	3	2.953652789
TSPY	62	25.16889238	30.40062844	31.37470542	3	25.16889238
VCY	62	1.891891892	2.22972973	2.263513514	3	1.891891892
BPY	62	2.843676355	3.252160251	3.26787117	3	2.843676355
PRY	62	2.01	1.81	2.06	3	1.81
XKRY	62	1.712490181	1.869599372	1.948153967	3	1.712490181
DAZ	62	4.26	4.24	4.12	3	4.12
RBMY	62	9.46	9.57	9.4	3	9.57
HSFY	63	1.825044405	3.023978686	3.063943162	3	1.825044405
RBMY	63	8.246003552	11.01687389	11.19005329	3	8.246003552
CDY	63	3.809946714	4.769094139	4.835701599	3	3.809946714
TSPY	63	33.36	39.17	39.96	3	33.36
PRY	63	2.45	2.43	2.34	3	2.34
DAZ	63	5.67	5.41	5.56	3	5.41
VCY	63	2.224094356	2.299915754	2.312552654	3	2.224094356
BPY	63	3.46	3.6	3.53	3	3.6
XKRY	63	2.44	2.48	2.46	3	2.48
HSFY	64	0.7694974	2.651646447	2.833622184	3	0.7694974
TSPY	64	19.83535529	34.21143847	37.09705373	3	19.83535529
RBMY	64	7.019064125	11.20450607	12.9202773	3	7.019064125
CDY	64	2.833622184	4.601386482	4.627383016	3	2.833622184
BPY	64	3.46	3.067590988	3.509532062	3	3.067590988
XKRY	64	1.936741768	2.079722704	2.027729636	3	1.936741768
DAZ	64	4.71	4.98	5.03	3	4.71
PRY	64	2.39	2.3	2.4	3	2.3
VCY	64	2.717488789	2.771300448	2.717488789	3	2.771300448
DAZ	65	4.16	NA	4.48	2	NA
HSFY	65	2.54247392	2.587183308	2.771982116	3	2.771982116
XKRY	65	2.241818182	2.312727273	2.16	3	2.16
VCY	65	2.720779221	2.863636364	2.837662338	3	2.720779221
PRY	65	2.14	2.09	2.05	3	2.14
BPY	65	3.35	3.4	3.27	3	3.27
TSPY	65	34.25454545	33.81818182	34.36363636	3	33.81818182
CDY	65	4.63	4.674545455	4.68	3	4.63
RBMY	65	11.94545455	12.05454545	12	3	12.05454545
VCY	66	2.204081633	2.475765306	2.357142857	3	2.204081633
CDY	66	3.24	3.57	3.51	3	3.24
PRY	66	2.32	2.12	2.15	3	2.32
XKRY	66	1.69	1.63	1.55	3	1.55
HSFY	66	1.84	1.74	1.89	3	1.74
BPY	66	2.61	2.8	2.78	3	2.61
TSPY	66	29.05	30	29.88	3	29.05
RBMY	66	7.68	7.83	7.59	3	7.83
DAZ	66	4.78	4.78	4.78	3	NA
RBMY	67	3.73	12.29	13.04	3	3.73
HSFY	67	1.09	2.66	3.11	3	1.09
CDY	67	2.89	4.97	5.22	3	2.89
BPY	67	2.41	3.76	3.74	3	2.41
TSPY	67	36.94877506	40.155902	40.155902	3	36.94877506
DAZ	67	4.41	4.1	4.48	3	4.1
XKRY	67	2.18	2.1	2.23	3	2.1
PRY	67	2.12	2.08	2.04	3	2.12
VCY	67	2.065955383	2.022308438	2.007759457	3	2.065955383
CDY	68	3.668571429	4.422857143	4.182857143	3	3.668571429
HSFY	68	1.8	2.122285714	2.132571429	3	1.8
RBMY	68	9.84	10.69714286	11.24571429	3	9.84
XKRY	68	1.961142857	2.053714286	2.139428571	3	1.961142857
PRY	68	2.42	2.28	2.43	3	2.28
DAZ	68	4.71	4.41	4.47	3	4.71
TSPY	68	28.66285714	29.82857143	29.55428571	3	28.66285714
VCY	68	2.277722278	2.364635365	2.31968032	3	2.364635365
BPY	68	3.394285714	3.325714286	3.291428571	3	3.394285714
DAZ	69	1.89	1.88	1.73	3	1.73
BPY	69	1.02	1.09	1.1	3	1.02
VCY	69	1.907168038	1.910693302	2.034077556	3	2.034077556
PRY	69	1.91	1.94	2.04	3	2.04
HSFY	69	1.975945017	1.993127148	2.099656357	3	2.099656357
RBMY	69	10.79037801	10.89347079	10.4467354	3	10.4467354
XKRY	69	NA	1.94	1.9	2	NA
TSPY	69	31.65	31.44	31	3	31
CDY	69	2.74914089	NA	NA	1	NA
VCY	70	2.090517241	3.254310345	3.211206897	3	2.090517241
PRY	70	2.11	2.67	2.82	3	2.11
HSFY	70	2.11	2.06	2.3	3	2.3
DAZ	70	8.36	8.92	8.97	3	8.36
BPY	70	5.77	5.52	5.94	3	5.52
CDY	70	5.71	6.07	5.89	3	6.07
XKRY	70	2.28	2.22	2.23	3	2.28
RBMY	70	11.41	11.16	11.46	3	11.16
TSPY	70	35.2	34.81	34.58	3	35.2
RBMY	71	11.1978822	14.09662475	11.47584381	3	14.09662475
BPY	71	4.447385837	3.951025811	4.904037062	3	3.951025811
HSFY	71	2.660489742	3.156849768	3.077432164	3	2.660489742
XKRY	71	3.057577763	2.918596956	2.700198544	3	2.700198544
TSPY	71	40.64195897	37.86234282	41.07875579	3	37.86234282
CDY	71	4.46	4.78	4.68	3	4.46
PRY	71	2.49	2.57	2.48	3	2.57
DAZ	71	4.9	4.95	5.08	3	5.08
VCY	71	1.932921447	1.972639011	1.906443071	3	1.972639011
DAZ	72	2.69	3.06	3.23	3	2.69
CDY	72	3.775280899	3.179775281	3.528089888	3	3.179775281
PRY	72	1.58	1.64	1.55	3	1.64
BPY	72	2.95505618	2.797752809	2.876404494	3	2.95505618
RBMY	72	8.943820225	9.404494382	9.213483146	3	8.943820225
TSPY	72	31.79775281	30.4494382	31.46067416	3	30.4494382
XKRY	72	1.943820225	1.898876404	1.95505618	3	1.898876404
VCY	72	1.692982456	1.675438596	1.649122807	3	1.649122807
HSFY	72	1.943820225	1.97752809	1.93258427	3	1.97752809
XKRY	73	2.183156173	2.035977105	1.962387572	3	2.183156173
DAZ	73	4.37	4.21	4.12	3	4.37
HSFY	73	1.999182339	2.097301717	2.109566639	3	1.999182339
BPY	73	2.74	2.661488144	2.820932134	3	2.820932134
RBMY	73	14.52166803	13.98201145	13.88389207	3	14.52166803
TSPY	73	35.69092396	35.20032706	36.67211774	3	36.67211774
PRY	73	2.28	2.37	2.32	3	2.37
VCY	73	1.543859649	1.578947368	1.543859649	3	1.578947368
CDY	73	4.255928046	4.255928046	4.268192968	3	4.268192968
RBMY	74	12.34461054	15.20062943	15.55468135	3	12.34461054
HSFY	74	1.867033832	2.235247836	2.275373721	3	1.867033832
DAZ	74	4.49	4.12	4.71	3	4.12
TSPY	74	28.43	30.47	32.47	3	28.43
CDY	74	4.602675059	4.980330448	5.145554681	3	4.602675059
VCY	74	1.502664298	1.60035524	1.504440497	3	1.60035524
PRY	74	2.26	2.24	2.34	3	2.34
BPY	74	3.823760818	3.965381589	3.823760818	3	3.965381589
XKRY	74	2.129390244	2.093552321	2.139606609	3	2.093552321
XKRY	75	2.015	2.015	1.805	3	1.805
HSFY	75	2.033086611	2.181113566	2.195768891	3	2.033086611
PRY	75	2.31	2.31	2.44	3	2.44
DAZ	75	3.945	4.11	4.085	3	3.945
CDY	75	4.882112241	5.020368979	4.865713655	3	5.020368979
VCY	75	2.166415664	2.21968335	2.161026527	3	2.21968335
TSPY	75	31.03	30.17	30.825	3	30.17
RBMY	75	9.098420239	9.170048608	9.01585285	3	9.01585285
BPY	75	3.495	3.48	3.535	3	3.535
HSFY	76	1.521912351	2.123505976	2.346613546	3	1.521912351
PRY	76	1.76	1.88	2.07	3	2.07
VCY	76	2.346570397	2.57400722	2.761732852	3	2.346570397
BPY	76	2.673306773	2.940239044	3.103585657	3	2.673306773
DAZ	76	3.9	4.12	4.3	3	3.9
CDY	76	3.61752988	3.944223108	3.780876494	3	3.944223108
TSPY	76	29.6812749	28.60557769	30.9561753	3	30.9561753
RBMY	76	10.67729084	10.83665339	11.07569721	3	11.07569721
XKRY	76	1.836653386	1.896414343	1.892430279	3	1.836653386
PRY	77	1.21	1.34	1.36	3	1.21
HSFY	77	1.806413302	1.660332542	1.802850356	3	1.660332542
XKRY	77	1.94	1.81	1.93	3	1.81
TSPY	77	27.11401425	28.46793349	27.71971496	3	28.46793349
DAZ	77	2.68	2.61	2.71	3	2.61
BPY	77	3.14	3.19	3.07	3	3.07
CDY	77	4.03	3.95	3.92	3	4.03
RBMY	77	11.33016627	11.18764846	11.47268409	3	11.47268409
VCY	77	1.549430797	1.544038346	1.560215698	3	1.560215698
HSFY	78	1.18	1.63	1.6	3	1.18
CDY	78	2.88	3.24	3.26	3	2.88
XKRY	78	1.45	1.5	1.33	3	1.33
TSPY	78	31.14	31.46	33.49	3	33.49
RBMY	78	7.5	7.86	8.09	3	7.5
PRY	78	2.4	2.55	2.5	3	2.4
BPY	78	2.45	2.53	2.58	3	2.45
VCY	78	2.071692145	2.071692145	2.024248814	3	2.024248814
DAZ	78	4.46	4.57	4.51	3	4.57
CDY	79	3.411264612	5.164718385	5.419766206	3	3.411264612
RBMY	79	8.894792774	14.05951116	13.51753454	3	8.894792774
HSFY	79	1.492029756	2.053134963	2.155154091	3	1.492029756
BPY	79	2.933049947	3.44314559	3.761955367	3	2.933049947
XKRY	79	2.091392136	2.11370882	2.352816153	3	2.352816153
TSPY	79	31.59404888	33.21997875	34.62274176	3	31.59404888
PRY	79	2.33	2.28	2.42	3	2.42
VCY	79	2.28702011	2.426873857	2.363802559	3	2.28702011
DAZ	79	4.11	4.36	4.25	3	4.11
HSFY	80	1.696070569	1.912590217	2.056936648	3	1.696070569
RBMY	80	8.732959102	9.59903769	9.839615076	3	8.732959102
XKRY	80	1.696070569	1.744186047	1.876503609	3	1.876503609
DAZ	80	4.92	4.75	5.13	3	5.13
VCY	80	2.273425499	2.334869432	2.196620584	3	2.196620584
TSPY	80	29.18203689	28.26784282	28.70088212	3	29.18203689
BPY	80	3.27	3.223736969	3.175621492	3	3.175621492
CDY	80	3.404170008	3.3680834	3.440256616	3	3.440256616
PRY	80	2.26	2.27	2.24	3	2.24
TSPY	81	14.66	28.28	29.74	3	14.66
BPY	81	1.75	2.76	3.3	3	1.75
CDY	81	2.400568182	3.238636364	3.835227273	3	2.400568182
HSFY	81	1.590909091	2.088068182	2.386363636	3	1.590909091
RBMY	81	9.289772727	11.78977273	13.72159091	3	9.289772727
XKRY	81	1.82	2.09	2	3	1.82
VCY	81	2.217573222	2.036262204	2.329149233	3	2.036262204
PRY	81	1.74	1.85	1.83	3	1.74
DAZ	81	3.63	3.71	3.53	3	3.53
PRY	82	1.7	1.94	2.48	3	2.48
HSFY	82	1.447731755	1.893491124	1.960552268	3	1.447731755
XKRY	82	1.684418146	2.01183432	1.696252465	3	2.01183432
BPY	82	2.244575937	2.406311637	2.418145957	3	2.244575937
VCY	82	2.706896552	2.827586207	2.927586207	3	2.706896552
DAZ	82	3.97	4.17	4.24	3	3.97
CDY	82	2.879684418	3.045364892	3.001972387	3	2.879684418
TSPY	82	22.91913215	22.44575937	22.05128205	3	22.91913215
RBMY	82	12.93	12.53	12.59	3	12.93
HSFY	83	1.887892377	2.103139013	2.174887892	3	1.887892377
VCY	83	2.221480987	2.341561041	2.481654436	3	2.481654436
BPY	83	2.62	2.466367713	2.69058296	3	2.466367713
CDY	83	3.3632287	3.609865471	3.609865471	3	3.3632287
RBMY	83	8.99103139	9.439461883	9.304932735	3	8.99103139
DAZ	83	3.14	3.18	3.28	3	3.28
TSPY	83	30.60538117	31.18834081	30.06726457	3	31.18834081
XKRY	83	2.112107623	2.085201794	2.042600897	3	2.042600897
PRY	83	1.65	1.69	1.69	3	1.65
CDY	84	4.372469636	3.497975709	4.165991903	3	3.497975709
DAZ	84	3.52	3.08	2.885	3	3.52
BPY	84	3.813765182	3.24291498	3.83805668	3	3.24291498
RBMY	84	12.99595142	15.5465587	14.69635628	3	12.99595142
TSPY	84	15.18218623	17.12550607	17.12550607	3	15.18218623
HSFY	84	2.137651822	2.101214575	1.882591093	3	1.882591093
XKRY	84	1.700404858	1.578947368	1.736842105	3	1.578947368
PRY	84	1.905	1.9	2.065	3	2.065
VCY	84	3.900826446	3.917355372	3.876033058	3	3.876033058
VCY	85	2.065974796	2.802075612	2.979985174	3	2.065974796
PRY	85	1.68	2.07	2.02	3	1.68
CDY	85	2.86	2.64	3.03	3	2.64
HSFY	85	1.94	1.95	2.18	3	2.18
BPY	85	1.89	2.1	2.03	3	1.89
RBMY	85	9.33	9.83	10.02	3	9.33
DAZ	85	4.05	4.14	4.05	3	4.14
XKRY	85	1.86	1.9	1.9	3	1.86
TSPY	85	18.53	18.51	18.83	3	18.83
CDY	86	2.528028933	3.450271248	3.613019892	3	2.528028933
HSFY	86	1.773960217	1.540687161	1.535262206	3	1.773960217
XKRY	86	2.110307414	2.045207957	1.904159132	3	1.904159132
PRY	86	1.86	1.91	2.03	3	2.03
RBMY	86	7.377938517	7.811934901	7.974683544	3	7.377938517
DAZ	86	3.83	4.08	4.12	3	3.83
VCY	86	2.275280899	2.331460674	2.342696629	3	2.275280899
BPY	86	2.51	2.528028933	2.549728752	3	2.549728752
TSPY	86	15.89511754	15.94936709	15.7323689	3	15.7323689
CDY	87	2.47706422	3.429781228	3.535638673	3	2.47706422
HSFY	87	2.773465067	2.731122089	3.112208892	3	3.112208892
BPY	87	2.29	2.41	2.52	3	2.29
PRY	87	2.12	2.15	2	3	2
VCY	87	2.613908873	2.709832134	2.757793765	3	2.613908873
DAZ	87	3.98	4.12	3.91	3	4.12
XKRY	87	1.91	1.89	1.83	3	1.83
RBMY	87	9.442484121	9.400141143	9.103740296	3	9.103740296
TSPY	87	27.78	27.88	28.56	3	28.56
VCY	88	2.518950437	2.951895044	2.221574344	3	2.951895044
PRY	88	1.8	2.24	2.2	3	1.8
XKRY	88	2.219626168	2.219626168	2.051401869	3	2.051401869
CDY	88	3.644859813	3.878504673	3.696261682	3	3.878504673
RBMY	88	10.56074766	10.04672897	10.37383178	3	10.04672897
TSPY	88	26.44859813	27.14953271	25.88785047	3	27.14953271
DAZ	88	3.56	3.65	3.72	3	3.56
BPY	88	3	2.943925234	2.88317757	3	2.88317757
HSFY	88	2.112149533	2.112149533	2.126168224	3	2.126168224
HSFY	89	2.08	2.29	2.38	3	2.08
CDY	89	2.81	2.83	3.11	3	3.11
TSPY	89	29.48	27.2	30.05	3	27.2
PRY	89	1.59	1.66	1.7	3	1.59
XKRY	89	2.14	2.02	2.02	3	2.14
VCY	89	2.890339426	2.847258486	2.729765013	3	2.729765013
BPY	89	3.36	3.53	3.53	3	3.36
DAZ	89	3.22	3.32	3.4	3	3.22
RBMY	89	11.57	11.42	NA	2	NA
HSFY	90	2.202957675	1.927587965	2.080571137	3	1.927587965
DAZ	90	3.99	4.1	4.44	3	4.44
CDY	90	3.931667517	3.579806221	3.962264151	3	3.579806221
BPY	90	3.136155023	2.952575217	3.227944926	3	2.952575217
PRY	90	1.96	2.01	2.13	3	2.13
RBMY	90	9.270780214	8.658847527	8.995410505	3	8.658847527
VCY	90	2.198339033	2.271617	2.330239375	3	2.198339033
XKRY	90	2.095869454	2.034676186	1.988781234	3	2.095869454
TSPY	90	35.04844467	35.26262111	34.83426823	3	34.83426823
DAZ	91	4.05	4.16	4.72	3	4.72
HSFY	91	1.912408759	1.927007299	2.072992701	3	2.072992701
VCY	91	2.3	2.16	2.16	3	2.3
XKRY	91	1.69	1.74	1.8	3	1.8
PRY	91	1.95	2.05	2.05	3	1.95
RBMY	91	8.773722628	8.96350365	8.525547445	3	8.525547445
CDY	91	3.518248175	3.576642336	3.503649635	3	3.576642336
TSPY	91	30.04	29.85	29.52	3	29.52
BPY	91	2.73	2.73	2.77	3	2.77
CDY	92	3.789954338	5.502283105	5.593607306	3	3.789954338
XKRY	92	1.910958904	2.283105023	2.127853881	3	1.910958904
BPY	92	3.06	3.401826484	3.630136986	3	3.06
RBMY	92	14.24657534	14.61187215	15.38812785	3	15.38812785
HSFY	92	2.191780822	2.328767123	2.351598174	3	2.191780822
VCY	92	2.174248265	2.229760987	2.33616037	3	2.33616037
DAZ	92	9.692923899	10.13351135	10.41388518	3	9.692923899
PRY	92	2.1	2.15	2.22	3	2.22
TSPY	92	33.01369863	33.21917808	33.21917808	3	33.01369863
PRY	93	2.26	2.05	2.26	3	2.05
CDY	93	4.678362573	4.346978558	4.795321637	3	4.346978558
BPY	93	3.528265107	3.547758285	3.820662768	3	3.820662768
VCY	93	2.769230769	2.607692308	2.769230769	3	2.607692308
XKRY	93	2.202729045	2.144249513	2.261208577	3	2.261208577
HSFY	93	2.16374269	2.261208577	2.16374269	3	2.261208577
RBMY	93	13.97660819	13.37231969	13.97660819	3	13.37231969
TSPY	93	25.80896686	26.5497076	26.78362573	3	25.80896686
DAZ	93	6.09	NA	6.14	2	NA
CDY	94	4.093959732	5.067114094	4.697986577	3	4.093959732
HSFY	94	1.869127517	2.030201342	2.030201342	3	1.869127517
VCY	94	3.059405941	2.792079208	2.892326733	3	3.059405941
BPY	94	5.84	6.14	5.74	3	6.14
XKRY	94	2.07	2.08	2.19	3	2.19
DAZ	94	6.42	6.76	6.57	3	6.76
PRY	94	2.35	2.39	2.47	3	2.47
TSPY	94	31.14	29.93	29.8	3	31.14
RBMY	94	11.51006711	11.84563758	11.94630872	3	11.51006711
PRY	95	2.13	1.95	1.91	3	2.13
BPY	95	3.056954669	2.847733437	3.149941883	3	2.847733437
HSFY	95	1.882991089	1.952731499	1.999225107	3	1.882991089
VCY	95	2.183864916	2.195121951	2.09380863	3	2.09380863
XKRY	95	1.848120883	1.790003874	1.871367687	3	1.790003874
CDY	95	3.870592793	3.986826811	3.986826811	3	3.870592793
DAZ	95	3.56	3.58	3.66	3	3.66
RBMY	95	11.0887253	10.79814026	10.89112747	3	11.0887253
TSPY	95	36.03254552	35.56760945	35.10267338	3	36.03254552
HSFY	96	2.71	1.91	2.6	3	1.91
CDY	96	4.14	5.18	5.18	3	4.14
BPY	96	3.3	3.58	3.49	3	3.3
VCY	96	2.171945701	2.055591467	NA	2	NA
TSPY	96	36.44	34.29	36.9	3	34.29
PRY	96	1.74	1.67	1.69	3	1.74
RBMY	96	12.45	12.04	12.26	3	12.04
DAZ	96	3.65	3.67	3.76	3	3.76
XKRY	96	2.2	2.2	2.2	3	NA
VCY	97	1.339924991	1.769519264	1.892260484	3	1.339924991
HSFY	97	1.95	2.02	2.11	3	2.11
PRY	97	1.81	1.77	1.68	3	1.68
TSPY	97	32.69	32.31	33.27	3	33.27
CDY	97	3.88	3.99	3.96	3	3.88
RBMY	97	9.47	9.4	9.66	3	9.66
XKRY	97	2.04	2.05	2	3	2
DAZ	97	3.8	3.89	3.85	3	3.8
BPY	97	3.06	3.09	3.13	3	3.13
HSFY	98	1.61733396	2.027498203	2.076784826	3	1.61733396
VCY	98	2.131934033	2.247676162	2.321364318	3	2.131934033
XKRY	98	1.844260355	1.928076923	1.948639054	3	1.844260355
PRY	98	1.985	1.9	1.9	3	1.985
BPY	98	2.705	2.594349113	2.68204142	3	2.594349113
CDY	98	3.632223636	3.673782005	3.736382238	3	3.736382238
TSPY	98	30.26931953	29.46301775	29.68615385	3	30.26931953
RBMY	98	8.468630758	8.5569181	8.393366698	3	8.5569181
DAZ	98	3.775	3.76	3.82	3	3.82
VCY	99	2.859731787	3.185936934	3.185936934	3	2.859731787
CDY	99	4.939285714	4.617857143	4.928571429	3	4.617857143
BPY	99	2.903571429	2.839285714	2.775	3	2.903571429
XKRY	99	1.917857143	1.971428571	2.003571429	3	1.917857143
TSPY	99	34.82142857	35.03571429	36.21428571	3	36.21428571
RBMY	99	8.721428571	9.053571429	8.935714286	3	8.721428571
PRY	99	2.66	2.73	2.76	3	2.66
DAZ	99	4.87	4.77	4.85	3	4.77
HSFY	99	2.260714286	2.282142857	2.271428571	3	2.282142857
HSFY	100	1.540605096	1.85111465	1.958598726	3	1.540605096
CDY	100	4.66	4.23	4.57	3	4.23
BPY	100	5.7	5.34	5.67	3	5.34
VCY	100	1.509803922	1.529411765	1.441176471	3	1.441176471
DAZ	100	2.97	3.15	3.1	3	2.97
TSPY	100	24.45	25.06	25.39	3	24.45
PRY	100	1.54	1.54	1.49	3	1.49
XKRY	100	1.73	1.77	1.78	3	1.73
RBMY	100	8.98089172	8.968949045	9.00477707	3	9.00477707
